?x	?label
<http://purl.obolibrary.org/obo/PAIN_0010267>	"chronic paroxysmal hemifacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010268>	"short-lasting unilateral neuralgiform facial pain attacks with cranial autonomic symptoms (SUNFA)"
<http://purl.obolibrary.org/obo/PAIN_0010269>	"episodic SUNFA"
<http://purl.obolibrary.org/obo/PAIN_0010270>	"chronic SUNFA"
<http://purl.obolibrary.org/obo/PAIN_0010271>	"hemifacial continuous pain with autonomic symptoms"
<http://purl.obolibrary.org/obo/PAIN_0010272>	"neurovascular orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010273>	"short-lasting neurovascular orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010274>	"long-lasting neurovascular orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010275>	"idiopathic orofacial pain"
<http://purl.obolibrary.org/obo/PAIN_0010276>	"burning mouth syndrome (BMS)"
<http://purl.obolibrary.org/obo/PAIN_0010277>	"burning mouth syndrome without somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010278>	"burning mouth syndrome with somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010279>	"probable burning mouth syndrome"
<http://purl.obolibrary.org/obo/PAIN_0010280>	"persistent idiopathic facial pain (PIFP)"
<http://purl.obolibrary.org/obo/PAIN_0010281>	"persistent idiopathic facial pain without somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010282>	"persistent idiopathic facial pain with somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010283>	"probable persistent idiopathic facial pain"
<http://purl.obolibrary.org/obo/PAIN_0010284>	"persistent idiopathic dentoalveolar pain"
<http://purl.obolibrary.org/obo/PAIN_0010285>	"persistent idiopathic dentoalveolar pain without somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010286>	"persistent idiopathic dentoalveolar pain with somatosensory changes"
<http://purl.obolibrary.org/obo/PAIN_0010287>	"probable persistent idiopathic dentoalveolar pain"
<http://purl.obolibrary.org/obo/PAIN_0010288>	"constant unilateral facial pain with additional attacks (CUFPA)"
<http://purl.obolibrary.org/obo/PAIN_0010292>	"gingival pain due to autoimmunity"
<http://purl.obolibrary.org/obo/PAIN_0010293>	"gingival pain attributed to hypersensitivity or allergic reaction"
<http://purl.obolibrary.org/obo/PAIN_0010294>	"oral mucosal pain due to autoimmunity"
<http://purl.obolibrary.org/obo/PAIN_0010295>	"oral mucosal pain due to hypersensitivity or allergic reaction"
<http://purl.obolibrary.org/obo/PAIN_0010297>	"salivary gland pain due to immunologically mediated disorder"
<http://purl.obolibrary.org/obo/PAIN_0010298>	"salivary gland pain due to obstructive cause"
<http://purl.obolibrary.org/obo/PAIN_0010299>	"trigeminal neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0010300>	"trigeminal neuropathic pain attributed to herpes zoster"
<http://purl.obolibrary.org/obo/PAIN_0010301>	"trigeminal postherpetic neuralgia"
<http://purl.obolibrary.org/obo/PAIN_0010302>	"post-traumatic trigeminal neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0010303>	"probable post-traumatic trigeminal neuropathic pain"
<http://purl.obolibrary.org/obo/PAIN_0010304>	"idiopathic trigeminal neuropathic pain"
<http://purl.obolibrary.org/obo/PATO_0000044>	"frequency"
<http://purl.obolibrary.org/obo/PATO_0000051>	"morphology"
<http://purl.obolibrary.org/obo/PATO_0000057>	"occurrence"
<http://purl.obolibrary.org/obo/PATO_0000060>	"spatial pattern"
<http://purl.obolibrary.org/obo/PATO_0000141>	"structure"
<http://purl.obolibrary.org/obo/PATO_0000161>	"rate"
<http://purl.obolibrary.org/obo/PATO_0000380>	"increased frequency"
<http://purl.obolibrary.org/obo/PATO_0000381>	"decreased frequency"
<http://purl.obolibrary.org/obo/PATO_0000389>	"acute"
<http://purl.obolibrary.org/obo/PATO_0000627>	"localized"
<http://purl.obolibrary.org/obo/PATO_0000689>	"continuous"
<http://purl.obolibrary.org/obo/PATO_0000911>	"decreased rate"
<http://purl.obolibrary.org/obo/PATO_0000912>	"increased rate"
<http://purl.obolibrary.org/obo/PATO_0001020>	"damage"
<http://purl.obolibrary.org/obo/PATO_0001167>	"damaged"
<http://purl.obolibrary.org/obo/PATO_0001236>	"process quality"
<http://purl.obolibrary.org/obo/PATO_0001241>	"physical object quality"
<http://purl.obolibrary.org/obo/PATO_0001309>	"duration"
<http://purl.obolibrary.org/obo/PATO_0001863>	"chronic"
<http://purl.obolibrary.org/obo/PATO_0002062>	"physical quality of a process"
<http://purl.obolibrary.org/obo/PATO_0002302>	"decreased process quality"
<http://purl.obolibrary.org/obo/PATO_0002304>	"increased process quality"
<http://purl.obolibrary.org/obo/PATO_0002323>	"temporal distribution quality"
<http://purl.obolibrary.org/obo/PATO_0002630>	"episodic"
<http://purl.obolibrary.org/obo/PATO_0050000>	"rate of occurence"
<http://purl.obolibrary.org/obo/PATO_0055003>	"increased rate of occurrence"
<http://purl.obolibrary.org/obo/PATO_0055004>	"decreased rate of occurrence"
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000062>	"organ"
<http://purl.obolibrary.org/obo/UBERON_0000064>	"organ part"
<http://purl.obolibrary.org/obo/UBERON_0000075>	"subdivision of skeletal system"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"mouth"
<http://purl.obolibrary.org/obo/UBERON_0000211>	"ligament"
<http://purl.obolibrary.org/obo/UBERON_0000344>	"mucosa"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000467>	"anatomical system"
<http://purl.obolibrary.org/obo/UBERON_0000475>	"organism subdivision"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"tissue"
<http://purl.obolibrary.org/obo/UBERON_0000982>	"skeletal joint"
<http://purl.obolibrary.org/obo/UBERON_0001015>	"musculature"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001444>	"subdivision of head"
<http://purl.obolibrary.org/obo/UBERON_0001456>	"face"
<http://purl.obolibrary.org/obo/UBERON_0001474>	"bone element"
<http://purl.obolibrary.org/obo/UBERON_0001684>	"mandible"
<http://purl.obolibrary.org/obo/UBERON_0001709>	"upper jaw region"
<http://purl.obolibrary.org/obo/UBERON_0001710>	"lower jaw region"
<http://purl.obolibrary.org/obo/UBERON_0001754>	"dental pulp"
<http://purl.obolibrary.org/obo/UBERON_0001828>	"gingiva"
<http://purl.obolibrary.org/obo/UBERON_0002217>	"synovial joint"
<http://purl.obolibrary.org/obo/UBERON_0002384>	"connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0002397>	"maxilla"
<http://purl.obolibrary.org/obo/UBERON_0002514>	"intramembranous bone"
<http://purl.obolibrary.org/obo/UBERON_0003129>	"skull"
<http://purl.obolibrary.org/obo/UBERON_0003457>	"head bone"
<http://purl.obolibrary.org/obo/UBERON_0003462>	"facial bone"
<http://purl.obolibrary.org/obo/UBERON_0003700>	"temporomandibular joint"
<http://purl.obolibrary.org/obo/UBERON_0003714>	"neural tissue"
<http://purl.obolibrary.org/obo/UBERON_0003729>	"mouth mucosa"
<http://purl.obolibrary.org/obo/UBERON_0004121>	"ectoderm-derived structure"
<http://purl.obolibrary.org/obo/UBERON_0004473>	"musculature of face"
<http://purl.obolibrary.org/obo/UBERON_0004742>	"dentary"
<http://purl.obolibrary.org/obo/UBERON_0004756>	"dermal skeletal element"
<http://purl.obolibrary.org/obo/UBERON_0004765>	"skeletal element"
<http://purl.obolibrary.org/obo/UBERON_0004768>	"bone of lower jaw"
<http://purl.obolibrary.org/obo/UBERON_0004905>	"articulation"
<http://purl.obolibrary.org/obo/UBERON_0004921>	"subdivision of digestive tract"
<http://purl.obolibrary.org/obo/UBERON_0004923>	"organ component layer"
<http://purl.obolibrary.org/obo/UBERON_0007842>	"membrane bone"
<http://purl.obolibrary.org/obo/UBERON_0007914>	"bone of craniocervical region"
<http://purl.obolibrary.org/obo/UBERON_0008193>	"pneumatized bone"
<http://purl.obolibrary.org/obo/UBERON_0008229>	"craniocervical region musculature"
<http://purl.obolibrary.org/obo/UBERON_0008266>	"periodontal ligament"
<http://purl.obolibrary.org/obo/UBERON_0008846>	"skeletal ligament"
<http://purl.obolibrary.org/obo/UBERON_0008907>	"dermal bone"
<http://purl.obolibrary.org/obo/UBERON_0010000>	"multicellular anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0010313>	"neural crest-derived structure"
<http://purl.obolibrary.org/obo/UBERON_0010314>	"structure with developmental contribution from neural crest"
<http://purl.obolibrary.org/obo/UBERON_0011156>	"facial skeleton"
<http://purl.obolibrary.org/obo/UBERON_0011158>	"primary subdivision of skull"
<http://purl.obolibrary.org/obo/UBERON_0011171>	"joint connecting upper and lower jaws"
<http://purl.obolibrary.org/obo/UBERON_0011216>	"organ system subdivision"
<http://purl.obolibrary.org/obo/UBERON_0011595>	"jaw region"
<http://purl.obolibrary.org/obo/UBERON_0011597>	"bone of upper jaw"
<http://purl.obolibrary.org/obo/UBERON_0011821>	"irregular connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0011825>	"loose connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0012360>	"bone of jaw"
<http://purl.obolibrary.org/obo/UBERON_0013522>	"subdivision of tube"
<http://purl.obolibrary.org/obo/UBERON_0013765>	"digestive system element"
<http://purl.obolibrary.org/obo/UBERON_0015212>	"lateral structure"
<http://purl.obolibrary.org/obo/UBERON_0034921>	"multi organ part structure"
